Time	Sample1	Sample2	Sample3	Sample4
norm	norm	norm	norm	norm
0	6.53418817939222E-5	1.69444138503639E-5	1.40221381517139E-5	1.57196232658092E-4
3	2.03866671197037E-4	5.42221243211644E-5	1.31808098626111E-4	1.87868668298696E-4
6	8.10239334244635E-5	1.42333076343057E-4	8.41328289102836E-6	7.47640618739708E-5
9	1.56820516305413E-5	6.60832140164191E-5	3.9261986824799E-5	1.39942987610253E-4
12	1.38524789403115E-4	1.18610896952547E-4	1.40221381517139E-5	7.28470346464331E-5
15	3.65914538045964E-5	7.11665381715283E-5	2.80442763034279E-5	1.39942987610253E-4
18	1.01933335598519E-4	2.54166207755458E-5	1.54243519668853E-4	2.6838381185528E-5
21	4.18188043481102E-5	5.76110070912372E-5	1.59852374929539E-4	1.20772715334876E-4
24	6.79555570656791E-5	7.28609795565647E-5	1.14981532844054E-4	6.709595296382E-5
27	7.57965828809497E-5	2.03332966204367E-5	1.06568249953026E-4	1.38025960382715E-4
30	1.35911114131358E-4	9.48887175620378E-5	2.80442763034279E-6	1.3419190592764E-5
33	9.25241046201938E-4	0.00262977302957647	3.08487039337706E-5	9.62347668223932E-4
36	0.00808932496608756	0.00772326383299586	0.00461889230717457	0.00479256806884428
39	0.0362569033698115	0.0510247134276008	0.170231561589437	0.0501532663268416
42	0.0890714395862029	0.109189802851745	0.210901371084668	0.149353674270236
45	0.281299414798107	0.181793227317784	0.259199223734432	0.252393887750388
48	0.84864467868783	0.395524980302119	0.43597912384072	0.508740685643958
51	1	0.779820897545601	0.60091592606407	0.855467649207022
54	0.892964770271012	1	0.705237829485191	0.98284068928631
57	0.784546906323265	0.741790855099845	0.989932104807069	1
60	0.665033990846909	0.434856353731583	1	0.943309670827255
63	0.521347192782074	0.36415917582371	0.878711309415305	0.809873073627265
66	0.330329349220994	0.319807172570383	0.782760622470757	0.623578284682377
69	0.2413310925424	0.236523684054459	0.625687435322888	0.460475691136241
72	0.215458321027279	0.178533122092974	0.458574397258392	0.346989596293236
75	0.165294051536449	0.132979759897656	0.3065547887004	0.233513086586369
78	0.111758140945053	0.131649623410402	0.266423429310195	0.205815877202904
81	0.0945941354354252	0.119117534926673	0.222929561191209	0.175484672408802
84	0.0880677882818483	0.0773190548405954	0.181191264768817	0.15567986412111
87	0.0783867350752608	0.0639922733472842	0.146155550382945	0.124075753247923
90	0.0665493997694738	0.0587598383502919	0.11682965065245	0.107897960474733
93	0.059474180808828	0.0517685731956317	0.102619615849503	0.0901405372660508
