#,voc,efficiency
1,0.71,5.38
2,1.04,11.5
3,0.99,16.4
4,1,16.8
5,0.92,11
6,0.825,6.9
7,0.93,9.05
8,0.93,12
9,0.88,11.9
10,1.08,17.9
11,1,16.8
12,0.99,8.31
13,0.958,12.8
14,0.88,5.32
15,0.889,6.15
16,0.78,6.72
17,1.08,8.65
18,0.94,9.2
19,0.96,17.03
20,1.06,15.18
21,0.94,13.88
22,0.9,13.7
23,1.01,14.52
24,1.11,17.06
25,0.69,0.62
26,0.79,10.5
27,0.98,15.3
28,0.97,10.76
